"Campaign name","Ad set name","Ad name",Age,Gender,"Campaign name","Result Type",Results,"Cost per result","Amount spent (INR)","Result rate",Frequency,"CTR (all)","CPM (cost per 1,000 impressions)","Reporting starts","Reporting ends"
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest","Ajit Mahuli",55-64,male,"PATC Webinar - Conv - 19th Jan 22",,,,126.35533057415,,1.3836477987421,3.18181818,287.17120585,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Vinaya,35-44,female,"PATC Webinar - Conv - 19th Jan 22",,,,125.66377923403,,1.3282828282828,0.76045627,477.80904652,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Sharks,18-24,male,"PATC Webinar",,,,123.08513665412,,1.303125,0.63948841,98.38939781,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","New - Imbalance",25-34,female,"PATC Webinar",,,,123.02617335635,,1.5104166666667,1.24137931,169.69127359,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels",Indicators,55-64,male,"PATC Webinar",,,,122.90552190013,,1.5758928571429,2.26628895,348.174283,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Sharks,25-34,female,"PATC Webinar",,,,122.77517408416,,1.739247311828,1.39103555,189.76070183,2022-01-01,2022-03-31
"PATC Webinar","Lookalike + Engagement - Social Media",Vasudev,45-54,male,"PATC Webinar",,,,121.99,,1.1043165467626,3.58306189,397.36156352,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Indicators,18-24,male,"PATC Webinar",,,,121.26,,1.2247474747475,1.64948454,125.01030928,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","Testimonial - 2",55-64,male,"PATC Webinar",,,,120.16624638347,,1.6111111111111,1.50862069,258.97897927,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Video Ad #3",35-44,female,"PATC Webinar",,,,120.06,,1.4419642857143,4.95356037,371.70278638,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Indicators - Female",35-44,female,"PATC Webinar",,,,120.05168838267,,1.3701923076923,4.56140351,421.23399433,2022-01-01,2022-03-31
"PATC Course","PATC Webinar Attendees - PATC Course",Vasudev,25-34,male,"PATC Course",,,,119.85,,2.0208333333333,1.71821306,411.8556701,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Landing Page - S",25-34,female,"PATC Webinar",,,,119.36905367303,,2,2.86885246,489.21743309,2022-01-01,2022-03-31
"PATC Course","PATC Course",Vasudev,55-64,male,"PATC Course",,,,118.8,,1.9558823529412,5.26315789,893.23308271,2022-01-01,2022-03-31
"PATC Webinar","Lookalike + Engagement - Social Media","Invest in Learning",45-54,male,"PATC Webinar",,,,116.45,,1.1619433198381,1.74216028,405.74912892,2022-01-01,2022-03-31
"Webinar Purchase - Brand Awarness","Webinar Purchase",Vasudev,45-54,male,"Webinar Purchase - Brand Awarness","Estimated ad recall lift (people)",10,11.543866875864,115.43866875864,5,2.020202020202,4.5,577.19334379,2022-01-01,2022-03-31
"PATC Course","PATC Webinar Attendees - PATC Course","Milind Madgaonkar",25-34,male,"PATC Course",,,,115.4,,1.9305555555556,4.31654676,415.10791367,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Indicators,25-34,female,"PATC Webinar",,,,114.93,,1.2755102040816,2.2,229.86,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Template,45-54,female,"PATC Webinar - Conv - 19th Jan 22",,,,109.79979951101,,1.7986111111111,0.38610039,423.93744985,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Sharks,55-64,male,"PATC Webinar - Conv - 19th Jan 22",,,,109.37316007343,,1.8724489795918,1.08991826,298.01950974,2022-01-01,2022-03-31
"PATC Course","PATC Course","Milind Madgaonkar",35-44,female,"PATC Course",,,,109.27,,1.5063291139241,8.40336134,918.23529412,2022-01-01,2022-03-31
"PATC Course","PATC Webinar Attendees - PATC Course",Testimonials,25-34,male,"PATC Course",,,,109.25,,1.8508771929825,2.36966825,517.77251185,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Vasudev,45-54,female,"PATC Webinar",,,,109.18249008789,,1.3489583333333,4.63320463,421.55401578,2022-01-01,2022-03-31
"PATC Webinar","Lookalike + Engagement - Social Media","Yatindra Dongre",25-34,male,"PATC Webinar",,,,108.80310109188,,1.1418803418803,3.59281437,162.87889385,2022-01-01,2022-03-31
"PATC Webinar","Lookalike + Engagement - Social Media","Prashant Gore",35-44,male,"PATC Webinar",,,,107.75,,1.227397260274,2.90178571,240.51339286,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Doodle Ad",18-24,male,"PATC Webinar",,,,107.38671199807,,1.224025974026,0.58355438,28.48453899,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","New Reel",35-44,female,"PATC Webinar",,,,107.35783966082,,1.4775,0,181.65455103,2022-01-01,2022-03-31
"PATC - Webinar - Lead - 21st Dec","Interest Targeting",Indicators,25-34,male,"PATC - Webinar - Lead - 21st Dec","On-Facebook leads",5,21.424,107.12,1.3623978201635,1.3014184397163,5.44959128,291.88010899,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Prashant Gore",25-34,male,"PATC Webinar",,,,106.86,,1.1875,3.94736842,468.68421053,2022-01-01,2022-03-31
"PATC Webinar – Remarketing – Copy","Website Visits","Last Few Seats Left",45-54,female,"PATC Webinar – Remarketing – Copy",,,,106.5285127283,,3.5862068965517,2.88461538,512.15631119,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","Testimonial - 1",35-44,male,"PATC Webinar",,,,106.40519745453,,1.1008196721311,0.29784066,79.22948433,2022-01-01,2022-03-31
"PATC Webinar - CBO","Detailed Targeting – News + Interests",Indicators,45-54,male,"PATC Webinar - CBO",,,,105.44,,1.2543352601156,3.22580645,485.89861751,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Video Ad #3",25-34,female,"PATC Webinar",,,,104.96,,1.2777777777778,2.44565217,285.2173913,2022-01-01,2022-03-31
"PATC - Webinar - Lead - 21st Dec","Interest Targeting","Doodle Ad",25-34,male,"PATC - Webinar - Lead - 21st Dec","On-Facebook leads",15,6.9366666666667,104.05,1.81598062954,1.1207598371777,5.44794189,125.968523,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Indicators,35-44,female,"PATC Webinar - Conv - 19th Jan 22",,,,103.67928560109,,1.343023255814,3.46320346,448.8280762,2022-01-01,2022-03-31
"PATC Webinar - CBO","Detailed Targeting – News + Interests",Indicators,35-44,male,"PATC Webinar - CBO",,,,103.66,,1.2276422764228,3.31125828,343.24503311,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Sharks,35-44,female,"PATC Webinar - Conv - 19th Jan 22",,,,102.82596396229,,1.5660377358491,1.5060241,309.71675892,2022-01-01,2022-03-31
"PATC Course","PATC Webinar Attendees - PATC Course",Testimonials,35-44,male,"PATC Course",,,,102.51,,1.7428571428571,0,560.16393443,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Analyse Stocks",55-64,male,"PATC Webinar",,,,100.97644505019,,2.4444444444444,1.59090909,229.49192057,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Sharks,25-34,female,"PATC Webinar - Conv - 19th Jan 22",,,,97.038442514431,,1.5227272727273,1.49253731,181.04187036,2022-01-01,2022-03-31
"PATC Webinar – Remarketing – Copy","Website Visits","Remarketing #3",35-44,male,"PATC Webinar – Remarketing – Copy",,,,96.4,,1.4534161490683,5.12820513,411.96581197,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Indicators,55-64,female,"PATC Webinar",,,,96.29,,1.2361111111111,2.24719101,1081.91011236,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Invest in Learning",45-54,female,"PATC Webinar",,,,96.21,,1.1858108108108,2.56410256,274.1025641,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Date,45-54,male,"PATC Webinar",,,,95.1,,1.3109756097561,2.3255814,442.3255814,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Date,25-34,male,"PATC Webinar",,,,95,,1.0729166666667,1.16504854,184.46601942,2022-01-01,2022-03-31
"PATC Course","PATC Course","Video Ad",35-44,female,"PATC Course",,,,94.89,,1.4835164835165,8.88888889,702.88888889,2022-01-01,2022-03-31
"Webinar Purchase - Brand Awarness","Webinar Purchase",John,45-54,male,"Webinar Purchase - Brand Awarness","Estimated ad recall lift (people)",10,9.487,94.87,7.2463768115942,1.725,12.31884058,687.46376812,2022-01-01,2022-03-31
"Webinar Purchase - Brand Awarness","Webinar Purchase","Results - Reels",35-44,male,"Webinar Purchase - Brand Awarness","Estimated ad recall lift (people)",10,9.42,94.2,6.1728395061728,1.4086956521739,1.2345679,581.48148148,2022-01-01,2022-03-31
"PATC Webinar","Lookalike + Engagement - Social Media","Yatindra Dongre",45-54,male,"PATC Webinar",,,,93.639321845057,,1.1977611940299,3.42679128,291.71128301,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest","Indicators - Female",18-24,male,"PATC Webinar - Conv - 19th Jan 22",,,,92.65,,1.3578431372549,1.80505415,167.23826715,2022-01-01,2022-03-31
"PATC Webinar – Remarketing – Copy","Website Visits","Remarketing #3",25-34,male,"PATC Webinar – Remarketing – Copy",,,,92.22,,1.1887755102041,3.43347639,395.79399142,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Trade Setup - Siemens",45-54,male,"PATC Webinar",,,,89.8,,1.3627450980392,3.23741007,323.02158273,2022-01-01,2022-03-31
"PATC Course","PATC Course",Vasudev,25-34,female,"PATC Course",,,,88.74,,1.6234567901235,3.42205323,337.41444867,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Prashant Gore",35-44,male,"PATC Webinar",,,,87.54,,1.2424242424242,7.31707317,355.85365854,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Simplest Way",18-24,male,"PATC Webinar",,,,87.21,,1.3088685015291,1.40186916,101.88084112,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Indicators,45-54,female,"PATC Webinar - Conv - 19th Jan 22",,,,87.059400119893,,1.6935483870968,0.95238095,414.568572,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Indicators,45-54,unknown,"PATC Webinar",,,,86.310538438179,,3.4642857142857,1.54639175,444.89968267,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Ajit Mahuli",18-24,male,"PATC Webinar",,,,85.989417017108,,1.2551546391753,3.69609856,176.5696448,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Approach,55-64,male,"PATC Webinar",,,,83.759452262552,,2.044776119403,0.72992701,305.69143162,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Ajit Mahuli",45-54,female,"PATC Webinar",,,,83.669702511531,,1.4027777777778,6.27062706,276.13763205,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Vasudev,18-24,male,"PATC Webinar",,,,83.479222293991,,1.1941580756014,0.32374101,30.02849723,2022-01-01,2022-03-31
"PATC Webinar","Lookalike + Engagement - Social Media",Approach,25-34,male,"PATC Webinar",,,,82.59303082975,,1.0853658536585,0.74906367,154.66859706,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Consistent Results",35-44,male,"PATC Webinar",,,,82.395913004078,,1.3640449438202,0.98846787,135.74285503,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","Ramnath Iyer - Reels",25-34,female,"PATC Webinar",,,,82.190290849303,,1.0480769230769,0.4587156,125.6732276,2022-01-01,2022-03-31
"PATC Webinar","Lookalike + Engagement - Social Media",Approach,35-44,male,"PATC Webinar",,,,80.170595553929,,1.156378600823,2.4911032,285.30461051,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Doodle Ad",25-34,female,"PATC Webinar",,,,79.652395860356,,1.2334558823529,1.19225037,118.7069983,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","Webinar Feedback",25-34,male,"PATC Webinar",,,,79.56,,1.0422661870504,0,34.32269198,2022-01-01,2022-03-31
"PATC Course","PATC Webinar Attendees - PATC Course","Video Ad",25-34,male,"PATC Course",,,,79.19,,2.1764705882353,1.35135135,356.71171171,2022-01-01,2022-03-31
"PATC Course","PATC Course","Mentoring Session",25-34,female,"PATC Course",,,,77.94,,2.2692307692308,15.25423729,660.50847458,2022-01-01,2022-03-31
"PATC - Webinar - Lead - 21st Dec","Interest Targeting",Template,25-34,male,"PATC - Webinar - Lead - 21st Dec","On-Facebook leads",1,77.8,77.8,0.30120481927711,1.169014084507,1.80722892,234.3373494,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Invest in Learning",55-64,male,"PATC Webinar",,,,77.53,,1.9196428571429,2.79069767,360.60465116,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","New - Imbalance",55-64,male,"PATC Webinar",,,,77.017961642738,,2.1527777777778,2.90322581,248.44503756,2022-01-01,2022-03-31
"PATC - Webinar - Lead - 21st Dec","Interest Targeting",Indicators,35-44,male,"PATC - Webinar - Lead - 21st Dec","On-Facebook leads",4,19.25,77,2.0725388601036,1.3040540540541,9.84455959,398.96373057,2022-01-01,2022-03-31
"PATC Course","PATC Webinar Attendees - PATC Course","Ramnath Iyer",55-64,male,"PATC Course",,,,76.82,,2.6166666666667,5.0955414,489.29936306,2022-01-01,2022-03-31
"Webinar Purchase - Brand Awarness","Webinar Purchase","Testimonials #2 - Reels",45-54,male,"Webinar Purchase - Brand Awarness","Estimated ad recall lift (people)",10,7.682,76.82,9.0909090909091,1.9642857142857,2.72727273,698.36363636,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest","Indicators - Female",45-54,female,"PATC Webinar - Conv - 19th Jan 22",,,,76.63,,1.5238095238095,4.6875,598.671875,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","Testimonial - 2",45-54,female,"PATC Webinar",,,,76.477611079369,,1.0654761904762,1.11731844,213.62461195,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Ajit Mahuli",25-34,female,"PATC Webinar",,,,76.280611909712,,1.2911392405063,2.69607843,186.96228409,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Simplest Way",55-64,male,"PATC Webinar",,,,75.194008485323,,1.605,1.5576324,234.24924762,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Date,35-44,male,"PATC Webinar",,,,74.53,,1.0945945945946,0.41152263,306.70781893,2022-01-01,2022-03-31
"PATC Webinar","Lookalike + Engagement - Social Media","Yatindra Dongre - 2",35-44,male,"PATC Webinar",,,,74.37,,1.1771217712177,1.88087774,233.13479624,2022-01-01,2022-03-31
"PATC Webinar","Lookalike + Engagement - Social Media","Prashant Gore",45-54,male,"PATC Webinar",,,,73.2,,1.2049689440994,2.06185567,377.31958763,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels",Profits,35-44,female,"PATC Webinar",,,,72.88,,1.3221153846154,0.72727273,265.01818182,2022-01-01,2022-03-31
"Webinar Purchase - Brand Awarness","Webinar Purchase","SM YAtindra",45-54,male,"Webinar Purchase - Brand Awarness","Estimated ad recall lift (people)",10,7.21,72.1,8.3333333333333,1.6666666666667,4.16666667,600.83333333,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Vasudev,35-44,female,"PATC Webinar",,,,71.849330639952,,1.8333333333333,0.64935065,233.27704753,2022-01-01,2022-03-31
"PATC Webinar - CBO","Detailed Targeting – Forex + 1","New - Imbalance",25-34,male,"PATC Webinar - CBO",,,,71.39,,1.0928338762215,0.1490313,106.39344262,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Doodle Ad",35-44,female,"PATC Webinar",,,,71.191079072578,,1.3416666666667,1.55279503,221.09030768,2022-01-01,2022-03-31
"PATC Webinar – Remarketing – Copy","Website Visits","Last Few Seats Left",65+,male,"PATC Webinar – Remarketing – Copy",,,,71.079007647869,,3.0909090909091,4.90196078,348.42650808,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Prashant Gore",55-64,male,"PATC Webinar",,,,70.77,,1.3222222222222,5.04201681,594.70588235,2022-01-01,2022-03-31
"PATC Course","PATC Course","Milind Madgaonkar",45-54,female,"PATC Course",,,,70.47,,1.9210526315789,0,965.34246575,2022-01-01,2022-03-31
"PATC Course","PATC Course","Mentoring Session",35-44,female,"PATC Course",,,,70.47,,1.9259259259259,8.33333333,451.73076923,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Template,55-64,female,"PATC Webinar",,,,70.25,,1.875,4,468.33333333,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Image Ad #1",35-44,male,"PATC Webinar",,,,70.11,,1.1230769230769,1.02739726,240.10273973,2022-01-01,2022-03-31
"PATC Course","PATC Webinar Attendees - PATC Course","Video Ad",45-54,male,"PATC Course",,,,69.66,,2.1587301587302,2.94117647,512.20588235,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Video Ad #3",18-24,male,"PATC Webinar",,,,69.2,,1.365234375,1.00143062,98.99856938,2022-01-01,2022-03-31
"PATC Course","PATC Webinar Attendees - PATC Course","Milind Madgaonkar",55-64,male,"PATC Course",,,,68.83,,2.4166666666667,1.72413793,593.36206897,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels",Indicators,45-54,female,"PATC Webinar",,,,68.02752139668,,1,2.22222222,251.95378295,2022-01-01,2022-03-31
"PATC Webinar – News","News Channels",Shark,18-24,male,"PATC Webinar – News",,,,67.23,,1.5701754385965,0.97765363,93.89664804,2022-01-01,2022-03-31
"PATC Webinar – Remarketing – Copy","Website Visits",Discovery,35-44,male,"PATC Webinar – Remarketing – Copy",,,,66.4,,1.4324324324324,5.03144654,417.61006289,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Indicators - Female",55-64,male,"PATC Webinar",,,,65.26,,1.6210526315789,0.97402597,211.88311688,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","New - Imbalance",35-44,unknown,"PATC Webinar",,,,65.018279226315,,1.8625,0,436.36429011,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Landing Page - S",35-44,female,"PATC Webinar",,,,64.399489457509,,2.3222222222222,4.784689,308.1315285,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Prashant Gore",45-54,male,"PATC Webinar",,,,63.56,,1.125,6.48148148,588.51851852,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest","Simplest Way",55-64,male,"PATC Webinar - Conv - 19th Jan 22",,,,63.14,,1.5714285714286,3.03030303,478.33333333,2022-01-01,2022-03-31
"PATC Course","PATC Webinar Attendees - PATC Course",Vasudev,55-64,male,"PATC Course",,,,62.9,,2.3095238095238,2.06185567,648.45360825,2022-01-01,2022-03-31
"PATC Webinar – News","News Channels","New Creative #3",25-34,female,"PATC Webinar – News",,,,61.69,,1.777027027027,4.18250951,234.56273764,2022-01-01,2022-03-31
"PATC Webinar - CBO","Detailed Targeting – News + Interests","Trade Setup - Siemens",35-44,male,"PATC Webinar - CBO",,,,60.83,,1.1647058823529,1.01010101,204.81481481,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Vinaya,45-54,female,"PATC Webinar - Conv - 19th Jan 22",,,,60.427008666448,,1.3095238095238,2.72727273,549.33644242,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Simplest Way",35-44,female,"PATC Webinar",,,,60.26,,1.359756097561,2.69058296,270.22421525,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Indicators - Female",18-24,male,"PATC Webinar",,,,60.19,,1.2886178861789,1.41955836,94.93690852,2022-01-01,2022-03-31
"Webinar Purchase - Brand Awarness","Webinar Purchase",Banner,35-44,male,"Webinar Purchase - Brand Awarness","Estimated ad recall lift (people)",1,59.4,59.4,0.70921985815603,1.88,2.83687943,421.27659574,2022-01-01,2022-03-31
"PATC Webinar","Lookalike + Engagement - Social Media","Inconsistent Profits",45-54,male,"PATC Webinar",,,,59.103221878225,,1.1587301587302,2.05479452,404.81658821,2022-01-01,2022-03-31
"Webinar Purchase - Brand Awarness","Webinar Purchase",Banner,25-34,male,"Webinar Purchase - Brand Awarness","Estimated ad recall lift (people)",1,58.85,58.85,0.49019607843137,2.2173913043478,1.47058824,288.48039216,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Sharks,35-44,female,"PATC Webinar",,,,57.823017487473,,1.5,1.98412698,229.4564186,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest","Ajit Mahuli",35-44,female,"PATC Webinar - Conv - 19th Jan 22",,,,57.407878507929,,1.4553571428571,6.13496933,352.19557367,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Approach,18-24,male,"PATC Webinar",,,,57.089179122978,,1.3127208480565,1.48048452,76.83604189,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","New Reel",55-64,male,"PATC Webinar",,,,56.538862280389,,1.0192307692308,0,266.69274661,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Consistent Results",45-54,male,"PATC Webinar",,,,56.502338015406,,1.4803921568627,0.99337748,187.09383449,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Vinaya,25-34,female,"PATC Webinar - Conv - 19th Jan 22",,,,55.837235875136,,1.4805194805195,2.19298246,244.90015735,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest","Yatindra Dongre - 2",55-64,male,"PATC Webinar - Conv - 19th Jan 22",,,,55.66,,1.3728813559322,1.85185185,343.58024691,2022-01-01,2022-03-31
"PATC Webinar – News","News Channels","Webinar Feedback",35-44,female,"PATC Webinar – News",,,,55.49,,1.4936224489796,0.46968403,23.69342442,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest","Prashant Gore",55-64,male,"PATC Webinar - Conv - 19th Jan 22",,,,55.482474754564,,1.4631578947368,4.31654676,399.15449464,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest","New - Imbalance",45-54,unknown,"PATC Webinar - Conv - 19th Jan 22",,,,55.260081360184,,2.375,0,969.47511158,2022-01-01,2022-03-31
"PATC Webinar","Lookalike + Engagement - Social Media","Analyse Stocks",35-44,male,"PATC Webinar",,,,54.24,,1.1012658227848,1.14942529,311.72413793,2022-01-01,2022-03-31
"PATC Webinar - CBO","Detailed Targeting – Forex + 1","No Indicators",25-34,male,"PATC Webinar - CBO",,,,53.99,,1.1015037593985,1.36518771,184.2662116,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Date,25-34,male,"PATC Webinar - Conv - 19th Jan 22",,,,53.81,,1.0817120622568,2.15827338,193.56115108,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Simplest Way",18-24,male,"PATC Webinar",,,,53.485738216489,,1.3436123348018,0.49180328,87.68153806,2022-01-01,2022-03-31
"PATC Course","PATC Course","Milind Madgaonkar",55-64,male,"PATC Course",,,,53.23,,1.7333333333333,1.92307692,1023.65384615,2022-01-01,2022-03-31
"PATC - Webinar - Lead - 21st Dec","Interest Targeting",Indicators,45-54,male,"PATC - Webinar - Lead - 21st Dec","On-Facebook leads",4,13.24,52.96,4.5454545454545,1.1733333333333,10.22727273,601.81818182,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Indicators,35-44,unknown,"PATC Webinar",,,,52.954195038067,,1.6153846153846,1.19047619,315.20354189,2022-01-01,2022-03-31
"Webinar Purchase - Brand Awarness","Webinar Purchase","Testimonials - Reels",35-44,female,"Webinar Purchase - Brand Awarness","Estimated ad recall lift (people)",1,52.55,52.55,1.1904761904762,3.2307692307692,1.19047619,625.5952381,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Indicators - Female",45-54,female,"PATC Webinar",,,,52.436369638407,,1.5735294117647,0.93457944,490.05952933,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","Testimonial - 1",45-54,male,"PATC Webinar",,,,52.057650403936,,1.0860655737705,0.75471698,196.44396379,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Vasudev,25-34,female,"PATC Webinar",,,,51.729518079398,,1.0819672131148,0.56818182,97.97257212,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Landing Page - S",55-64,male,"PATC Webinar",,,,51.599590931793,,2.390243902439,2.55102041,263.26321904,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Indicators - Female",35-44,female,"PATC Webinar",,,,51.27,,1.5648148148148,5.32544379,303.37278107,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Huge Losses",35-44,female,"PATC Webinar",,,,50.77304128324,,1.8292682926829,4,338.48694189,2022-01-01,2022-03-31
"PATC Webinar – News","News Channels","Webinar Feedback",25-34,female,"PATC Webinar – News",,,,50.67,,1.5223214285714,0.50272308,21.2274822,2022-01-01,2022-03-31
"Webinar Purchase - Brand Awarness","Webinar Purchase","Results - Reels",45-54,male,"Webinar Purchase - Brand Awarness","Estimated ad recall lift (people)",1,50.63,50.63,1.4492753623188,1.6829268292683,0,733.76811594,2022-01-01,2022-03-31
"PATC Webinar","Lookalike + Engagement - Social Media","Prashant Gore",25-34,male,"PATC Webinar",,,,49.63,,1.1383928571429,5.09803922,194.62745098,2022-01-01,2022-03-31
"PATC Webinar - CBO","Detailed Targeting – Forex + 1","New - Imbalance",35-44,male,"PATC Webinar - CBO",,,,49.35,,1.088785046729,0.8583691,211.80257511,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Video Ad #3",45-54,female,"PATC Webinar",,,,49.17,,1.695652173913,3.20512821,315.19230769,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Concept - Price Action",35-44,male,"PATC Webinar",,,,49.12,,1.3333333333333,3.75,307,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","Ramnath Iyer - Reels",35-44,female,"PATC Webinar",,,,48.994212306762,,1.3641304347826,0.39840637,195.19606497,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Landing Page - S",55-64,male,"PATC Webinar",,,,48.778205908307,,1.7142857142857,4.48717949,312.6808071,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Yatindra Dongre - 2",55-64,male,"PATC Webinar",,,,48.37,,1.3779527559055,3.42857143,276.4,2022-01-01,2022-03-31
