"Campaign name","Ad set name","Ad name",Age,Gender,"Campaign name","Result Type",Results,"Cost per result","Amount spent (INR)","Result rate",Frequency,"CTR (all)","CPM (cost per 1,000 impressions)","Reporting starts","Reporting ends"
"PATC Webinar","Detailed Targeting – Forex + 1",Indicators,25-34,male,"PATC Webinar",,,,2697.13,,1.6255575379126,2.2499657,185.0137193,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Vasudev,25-34,male,"PATC Webinar",,,,2652.8315854613,,1.2613895981723,0.93756659,94.21235832,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","New Reel",25-34,male,"PATC Webinar",,,,2646.1167527502,,1.2059655554801,0.42411049,49.65689748,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels",Profits,25-34,male,"PATC Webinar",,,,2638.29,,1.4448693198693,0.54729053,67.78925461,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Inconsistent Profits",35-44,male,"PATC Webinar",,,,2558.543649128,,1.7633371169126,2.41390409,411.73859819,2022-01-01,2022-03-31
"PATC Webinar – News","News Channels",Template,25-34,male,"PATC Webinar – News",,,,2483.92,,1.7311320754717,1.46208547,165.07742407,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","New - Imbalance",25-34,male,"PATC Webinar",,,,2445.4351628686,,1.5544202961295,1.4483066,136.22076442,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","Testimonial - 2",35-44,male,"PATC Webinar",,,,2359.5462951765,,1.4408036354939,0.72487826,130.56365068,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Indicators - Female",35-44,male,"PATC Webinar",,,,2261.4534313104,,1.6303790983607,2.59230165,355.29511882,2022-01-01,2022-03-31
"PATC Webinar – Remarketing – Copy","Website Visits","Last Few Seats Left",45-54,male,"PATC Webinar – Remarketing – Copy",,,,2245.9686434597,,3.7607003891051,3.77651319,580.95412402,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Analyse Stocks",25-34,male,"PATC Webinar",,,,2244.6509754159,,1.4422222222222,1.11710324,172.93150812,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Inconsistent Profits",25-34,male,"PATC Webinar",,,,2239.5168111566,,1.5582242612333,1.21233114,193.93114056,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Template,45-54,male,"PATC Webinar",,,,2235.44,,2.2156818181818,1.4975895,229.29941532,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Ajit Mahuli",35-44,male,"PATC Webinar",,,,2205.6685415665,,1.5736002408188,2.70683883,210.96781842,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest","Indicators - Female",35-44,male,"PATC Webinar - Conv - 19th Jan 22",,,,2182.93,,1.6096991701245,1.86885774,351.6884163,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Indicators,45-54,male,"PATC Webinar - Conv - 19th Jan 22",,,,2159.9951166204,,2.0798171589311,2.65426881,365.17246266,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","New - Imbalance",35-44,male,"PATC Webinar",,,,2034.8013131125,,1.5500588928151,1.97568389,220.88594367,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","No Indicators",25-34,male,"PATC Webinar",,,,1998.6664334125,,1.6513525598033,1.6313545,135.29184549,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Template,45-54,male,"PATC Webinar - Conv - 19th Jan 22",,,,1958.8264232801,,2.4594926350245,2.12942938,325.87363555,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Indicators - Female",25-34,male,"PATC Webinar",,,,1957.1444997304,,1.4722466960352,2.04667864,234.2482944,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","No Indicators",35-44,male,"PATC Webinar",,,,1925.0430868814,,1.8945247689026,2.31452521,240.84112184,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Indicators - Male",35-44,male,"PATC Webinar",,,,1906.39,,1.7764140875133,2.20787023,286.33072995,2022-01-01,2022-03-31
"PATC Webinar – News","News Channels",Template,35-44,male,"PATC Webinar – News",,,,1873.02,,2.0019401330377,2.45050533,259.31330472,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Sharks,25-34,male,"PATC Webinar - Conv - 19th Jan 22",,,,1802.8379203075,,1.6533003515167,0.99220411,141.96692025,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Indicators - Male",25-34,male,"PATC Webinar",,,,1758.42,,1.4586763774541,1.4110496,190.8629111,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest","Indicators - Female",25-34,male,"PATC Webinar - Conv - 19th Jan 22",,,,1734.29,,1.4278136531365,1.71216282,280.13083508,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Analyse Stocks",45-54,male,"PATC Webinar",,,,1703.9000129502,,1.9715061058345,2.20233999,293.16930711,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Landing Page - S",35-44,male,"PATC Webinar",,,,1702.4765032067,,2.307753164557,3.11964347,291.81976401,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest","New - Imbalance",45-54,male,"PATC Webinar - Conv - 19th Jan 22",,,,1668.8824571188,,1.8311403508772,1.71086399,285.52308933,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Sharks,25-34,male,"PATC Webinar",,,,1608.6757417443,,1.5951573849879,1.15361263,162.78847822,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Invest in Learning",45-54,male,"PATC Webinar",,,,1602.65,,1.5410628019324,2.37068966,313.99882445,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Sharks,35-44,male,"PATC Webinar - Conv - 19th Jan 22",,,,1581.9825033981,,1.734542667348,1.67918692,233.02143223,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Ajit Mahuli",25-34,male,"PATC Webinar",,,,1523.8824510845,,1.4078767123288,2.45682316,185.34206411,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Ajit Mahuli",45-54,male,"PATC Webinar",,,,1395.5882406488,,1.4987636003956,2.45834021,230.257093,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","New Reel",35-44,male,"PATC Webinar",,,,1353.2727683773,,1.2200589214807,0.67191601,142.07588119,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Doodle Ad",25-34,male,"PATC Webinar",,,,1303.0827915437,,1.1972793813009,0.70938347,75.15328402,2022-01-01,2022-03-31
"PATC Course","PATC Course",Vasudev,35-44,male,"PATC Course",,,,1282.49,,1.7139201637666,2.12003583,382.9471484,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels",Profits,35-44,male,"PATC Webinar",,,,1261.68,,1.5121832358674,1.14405414,203.30003223,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Vasudev,45-54,male,"PATC Webinar",,,,1254.1440025241,,1.4003710575139,2.22575517,332.31160639,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Video Ad #3",35-44,male,"PATC Webinar",,,,1251.69,,1.55,2.07763805,228.11919081,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Indicators,25-34,male,"PATC Webinar - Conv - 19th Jan 22",,,,1236.4914799937,,1.5073131094258,2.19227314,222.19074214,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Sharks,35-44,male,"PATC Webinar",,,,1225.4920137186,,1.8002300613497,2.38551651,261.0206632,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Vasudev,25-34,male,"PATC Webinar",,,,1186.4389469418,,1.2211997569233,0.85306035,84.34200234,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Vasudev,35-44,male,"PATC Webinar",,,,1186.0689503888,,1.3559358752166,1.61367631,189.49815472,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Landing Page - S",25-34,male,"PATC Webinar",,,,1122.3911019737,,1.9710711493354,2.97500992,222.60831059,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","Reel #1",45-54,male,"PATC Webinar",,,,1095.7263128583,,1.4775,1.21263395,309.00347232,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Simplest Way",35-44,male,"PATC Webinar",,,,1092.61,,1.7080078125,1.85820469,312.35277301,2022-01-01,2022-03-31
"PATC Course","PATC Course",Vasudev,45-54,male,"PATC Course",,,,1088.47,,2.1390086206897,3.37531486,548.34760705,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Doodle Ad",35-44,male,"PATC Webinar",,,,1062.4853486988,,1.287942016253,1.36425648,181.18781526,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","Ramnath Iyer - Reels",25-34,male,"PATC Webinar",,,,1053.4155598707,,1.2785098309762,0.48564645,56.84305849,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Video Ad #3",25-34,male,"PATC Webinar",,,,1014.84,,1.3987068965517,1.94144838,156.36979969,2022-01-01,2022-03-31
"Webinar Purchase - Brand Awarness","Webinar Purchase","Testimonials - Reels",35-44,male,"Webinar Purchase - Brand Awarness","Estimated ad recall lift (people)",40,25.36225,1014.49,2.7932960893855,3.9449035812672,2.30446927,708.44273743,2022-01-01,2022-03-31
"PATC Webinar – News","News Channels",Indicators,35-44,male,"PATC Webinar – News",,,,994.38,,2.0808398950131,2.92633703,250.85267407,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Indicators,55-64,male,"PATC Webinar",,,,958.92,,2.1352339181287,2.94419719,328.28483396,2022-01-01,2022-03-31
"PATC Webinar – Remarketing – Copy","Website Visits",Date,55-64,male,"PATC Webinar – Remarketing – Copy",,,,942.67032001202,,4.765625,4.98360656,618.14447214,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Vinaya,35-44,male,"PATC Webinar - Conv - 19th Jan 22",,,,915.5246785494,,1.467250571211,2.51751882,237.61346446,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Simplest Way",25-34,male,"PATC Webinar",,,,912.36,,1.5698291101945,1.16366366,171.23873874,2022-01-01,2022-03-31
"PATC Webinar – News","News Channels","Webinar Feedback",35-44,male,"PATC Webinar – News",,,,907.8,,1.7842633928571,0.20016263,9.46393945,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Inconsistent Profits",45-54,male,"PATC Webinar",,,,894.3609653812,,1.7094155844156,2.42165242,424.67282307,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest","Indicators - Female",45-54,male,"PATC Webinar - Conv - 19th Jan 22",,,,880.97,,1.8164556962025,1.95121951,306.95818815,2022-01-01,2022-03-31
"PATC Course","PATC Course","Mentoring Session",35-44,male,"PATC Course",,,,876.16,,2.2489158716392,6.55611261,337.89433089,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","No Indicators",45-54,male,"PATC Webinar",,,,845.50390671384,,2.0443989071038,2.27196793,282.49378774,2022-01-01,2022-03-31
